title,start,end,description,place,location,source,source_url,media,media_credit,maps,video,metadata
Zhmerinka,7/7/1899,,"We worked all day carrying the army gear, which was needed for the journey, to the railroad depot. At 11 A.M. we ate our meal and before we could even finish eating the bugle sounded assembly. We threw down the mess kits with the kasha (5) and the borscht and ran to put on full battle gear, and then we fell into formation. We looked at our barracks, which appeared now, empty and deserted. A feeling of terror came upon us.

Many people were gathered in the parade grounds. Jews, Christians. Civilians and military people - all came to say good-bye and to observe the departure ceremony.

Then came the regiment commander with the brigade General Katrievitch. The general greeted us first, then came the military chaplain. He conducted a prayer service: he offered a prayer for the welfare of the Czar and his heir and then wished us success and good luck on our journey.

The rabbi came to see us, the Jewish soldiers. He brought with him a scroll of the Torah (6) and asked the general if he could conduct a service for us. Permission was granted. The rabbi stood near a table, put on a talis (7) and recited a few psalms. (honoten y'shuo. a mi sheberach) and that was the end our service. Then Schwartzman, the contractor, brought wine and said he wanted to drink to the general's health. And the general gave permission.

Four silver goblets were brought and filled with wine. The first goblet was given to the general. The second - to our regiment commander. The third - to the commander of the 10th regiment and the fourth - to Schwartsman. The general drank to the health of His Imperial Majesty, the Czar and to the health of Her Imperial Majesty, the Czarina; then he drank to the health of the inhabitants of the town of Zhmerinke, which he said gave him so much joy. We yelled: ""Hurrah! Hurrah!” the band played and they all drank the first toast. Then Schwartzman drank to the health of their Excellences. The commanders of the 9th and the 10th regiments and to the health of all the riflemen and we yelled: ""Hurrah! Hurrah""'

Then vodka was set up for the soldiers and a table of cold cuts for the whole regiment- and it made no difference whether Jew or Christian: all drank. The general was pleased with the local Jews and he thanked them for their help.

A photographer came and took a picture of the whole regiment so that we would have a reminder of this day. Then Schwartzman said to us: “Even though we are Jews, we are Russian subjects and we should exert every effort to fight the enemy and fight with all we've got. May God give you strength and endurance to overcome everything and to succeed wherever you go.”

The band was still playing but things quieted down a little. More vodka was brought in and we drank some more and from regular drinking glasses - we were having a good time in the midst of all our troubles.

Then all this ended - the regimental commander shouted: ""Shoulder arms! Forward march! ""The band played a lively, brisk march and we started marching. 

The officers Started saying good-bye to their wives and children. They kissed and cried and were off to the railroad station singing Russian songs as we marched.

The whole town was following us - it felt like a funeral of the living: one was laughing, one was crying and another was sighing as he was looking at these young men going off to war.

As we arrived at the railroad station - it was packed full of people. Parents, brothers, sisters and friends were wailing - all wanted to say good-bye and to wish us a pleasant journey. The screaming and the hollering is loud enough to reach   the heavens.         Just then we heard the first bell. The officers were shouting ""into the (train) cars!"" The good-byes were said, the tears were pouring and the reminders were heard: “For God's sake, don't forget to write letters!” We got into the cars - twenty soldiers to a car and as we sat down in our seats we heard the second and third bells.

The band was playing a march and all the people were waving good- bye with their hats or with their kerchiefs. The photographer took another picture.  The engineer blew the whistle and the train started moving.  Feeling sad and brokenhearted the soldiers began singing Russian songs. The singing was worse (sadder) than the crying. Some people were still waving good- bye but the train started moving and it was difficult to see now.  We could still hear shouts of “Farewell! Farewell!"" Some soldiers were crying and the tears were flowing like water when they heard the shouts of farewell and each one thought to himself: ""Who knows whether we will ever see each other again, whether we will ever return and see Zhmerinke.""

We soldiers were sitting in our train cars like chickens before the slaughter. We were in a gloomy mood like after N’ilah (9) and all kinds of thoughts ran through our minds: we are going to war we will have to shoot to stab to suffer hardships by the pound - and you begin to rue the day of your birth.

As the train started to move, some soldiers were walking around and yelling: ""Come. Brothers let's drink some vodka and have a bite to eat because if you’ll start brooding you’ll go crazy!"" Some men were convinced of this truth and they had so much to drink that they didn't know any more what trouble they were in.

One soldier got the idea to play cards. So he gathered together a company of men and they played cards. Each one thought that he will win - but one can lose much easier than one can win. Some of the men lost so badly that they were left without a penny - and if one of them ended up owing you money, there was nothing you could do about it unless you were prepared to kill him. Population of Zhmerinka: 13,944 Jewish Population: 2,396 Russian Orthodox Population: 9,046
",Zhmerynka,"49.038315, 28.107158",Jewish Virtual Library,http://www.jewishvirtuallibrary.org/jsource/judaica/ejud_0002_0021_0_21531.html,http://photos.wikimapia.org/p/00/02/53/86/28_big.jpg,,,,
Vinitse,7/7/1899,,"Meanwhile, the train stopped at the railroad station at Vinitse. We were received nicely. The local band was playing and the sign was given to get out of the train cars and then we just stood around for twenty minutes. Many people came running, Jews and Gentiles, and everybody was asking: ""Where are you going?"" We told everybody in secret: ""We are off to war."" One person sighed upon hearing this. Another groaned, a third rolled his eyes and got weepy. We were already sick and tired of the public's reaction to our going to war. The first bell rang, the signal was given to get back into the train cars, our ""horse"" gave a whistle and the train was moving off. All the people were bowing to us taking off their hats and we were yelling: ""Hurrah! Hurrah!"" The shouting almost broke the train car apart.

Now night was falling. We started looking around for a place to sleep. But woe! There was nothing to sleep on but the slatted coach seats and even these would not accommodate everybody. Just imagine! Twenty men to a car and there was nothing to put under you for bedding. What was a soldier to do? He had a soldier's coat, a ""shinel"" (10) - that's all. As he lay down to sleep the soldier put his shinel under him. And he also covered himself with his shinel and put it under his head as well. So, it would seem that the soldier slept well! When we got up in the morning there was not a bone in our bodies that didn't ache because of these ""soft"" beds that we were sleeping in. When we considered how long we will have to keep on rolling around on these ""soft"" beds and continue going through all kinds of hardships - it made us feel even worse. Total Population: 30,563 Jewish Population: 11,689 Russian Orthodox Population 15,015
",Vinnytsia,"49.235933, 28.464768",Discover Ukraine,http://discover-ukraine.info/index/central-ukraine/vinnytsia,,,,,
Kozatin,7/8/1899,,"At 11 o'clock in the morning  we arrived at the railroad station at Kozatin . Suddenly we heard shouting, which was coming from the outside: “Schwartzman! Greenstein! Averman! Pinchas! Shlomo!"" and so on. It turned out that these soldiers had family here. They kissed and greeted each other with great pleasure. The relatives did not know that we were on our way to war. As soon as we told them the mood changed and the groaning started.

As soon as we would arrive at a railroad station the soldiers would start looking for warm tea; one would run with a small container, another with a teapot. At each stop on our way, tea had been provided for us at government expense. However. Drinking tea is not enough - you have to eat too. The soldiers would run to buy bread, rolls, sugar, cheese, eggs, salami and other things like that. One soldier would buy thing. And pay for his purchase, another...
",,,,,,,,,
Kursk,7/9/1899,,"At 10 o'clock at night we arrived in KURSK. Kursk is a very big city. The train was delayed and we just waited for two hours. As we got out of our train cars a group of soldiers came up to us. We asked them whether there was any news. They said that everything was quiet around here and they hadn't heard any news.

We were given permission to go into the city. Kursk is a very big city but very few Jews were to be found here.

As we got into the city in the dark of night, a whole bright world opened up before us. We went shopping for food and we did really well: we bought rolls, bread, sugar tea, salami, cigarette paper and things like that which a soldier needs. However. One soldier paid for his purchase and five did not. The merchants made a profit anyway. They knew that we were going to war and they probably figured:"" Let them go!"" They also knew that we were the first brigades coming and they will do a lot more business.

At 10 o'clock at night we left Kursk . A big crowd came to see us off at the railroad station and everybody was curious to find out where we were going. The band played as we got into our train cars. The third bell rang, the locomotive gave a whistle and we were moving away. The people were bowing to us and we were singing songs and shouting: ""Hurrah! Hurrah!""

An unusual think happened as we were leaving Kursk. Several soldiers were left behind because they got drunk - dead drunk - and we didn't know where to find them. Total Population: 75,721 Russian Orthodox Population: 71,648 Jewish Population: Unlisted in overview of the 1897 Imperial Census 
",,"51.712858, 36.157219",Kursk Admin,http://www.kurskadmin.ru/node/810,,,,,
Voronezh,7/11/1899,,"July 11th we arrived in VORONEZH. Here they gave us a whole day’s furlough. We went into town in groups. We went bathing in the river and also did our laundry. Our general arrived. told us to gather around him and spoke to us: ""Fellows. As you know these are rough times for the military, particularly when we are in transit. You may lose your life for any breach of discipline. Well, then - don't do anything foolish!"" And we responded: We won't do such things anymore!""

A lot of people gathered around. The band was playing, some soldiers were dancing, some were singing, some were fooling around and some were wrestling. People were wondering how soldiers who were under such stress were able to entertain themselves. Now some of the people recalled that they had relatives in the army and as they began to think about the difficulties these relatives may be going through, they wept bitterly.

At 8 o'clock in the evening we got back into our train cars and - off we went. Total Population: 80,599 Jewish Population: 1708 Russian Orthodox Population: 76,689",,"51.689312, 39.191533",Wikipedia,https://en.wikipedia.org/wiki/Voronezh#History,,,,,
Kozlov,7/12/1899,,"On July 12th at noon we arrived in KOZLOV, which was located in the Tambov region. We had our dinner and then went into town. At 6 o'clock we were back in our cars and on our way.

We traveled all night and all day and passed by many small stations. While we were traveling we hadn't had any dinner and felt barely alive. Although some men were sleeping, some were playing cards. One was singing and another was playing his accordion. Some men were even dancing.  But while some soldiers were dancing our stomachs were doing their own dance.  That's how the journey proceeded: lively and joyously. Total Population: 40,297 Russian Orthodox Population: 39,589 Jewish Population: Unlisted in the ovierview of the 1897 Imperial Census 
",Michurinsk,"52.894173, 40.500548",Wikipedia,https://en.wikipedia.org/wiki/Michurinsk#History,,,,,
Tishtchevo,7/13/1899,,"On July 13th at 2 A.M. we arrived in TISHTCHEVO.
We were awakened and told:  ""Go eat your dinner."" One soldier shouted: ""It's too early!"" Another shouted: ""It is still night - I won't eat"" One soldier was cursing his life, another was laughing. But all this cursing and yelling was useless because if we didn't eat now, it was possible that we could go another twenty-four hours without a meal. In any case, because I  had  to  gobble  down  this  meal  the  food  stuck  in  my throat. We did not even have a chance to finish this dinner when the order was given to get back into the train cars and we were on our way.
",,,,,,,,,
Penza,7/14/1899,,"On July 14th we arrived in a big city called PENZA. A lot of people gathered around when we arrived. We went to eat dinner.

In the midst of all this. an old man, holding an alms box, came up to me and offered to pray in church for my successful return if I would put five kopecks in his alms box. My reply to him was: ""You came with nothing - you'll leave with nothing. And I thought to myself: ""Why don't you give me five kopecks and then I will pray for you- which you leave me alone and get lost."" We didn't think much of this alms-giving business.

Meanwhile, a train arrived (from the opposite direction) carrying Russian settlers who had to flee for their lives. These people were civilian settlers who lived near Manchuria.

When the war started the Chinese attacked them robbed them and burned their homes. They had to run for their lives and now they were returning to Russia. They were poor and looked threadbare and it was a pity to look at them. They were traveling at government expense just like soldiers: fifty people in one freight car, including women and children. They were receiving (from the government) half a pound of meat and a pound of bread for a mere three kopecks and borscht and tea for free. Total Population: 59,981 Russian Orthodox Population: 57,667 Jewish Population: Unlisted in the ovierview of the 1897 Imperial Census 
",Penza,"53.231338, 45.001438",RussiaTrek,http://russiatrek.org/penza-city,,,,,
Samara,7/15/1899,,"At noon we arrived in Samara - also a very big day.  We had our meal near the railroad station and then each one of us received two glasses of beer.  We didn't know where this beer came from or who had donated it, Later we learned that there was a wealthy brewer here in Samara and that he treated the entire brigade to free beer because we were going to war. That was very nice and I wouldn't have minded having some beer every day - and some food as well.

After we had the beer we went into the city. The city of Samara is very big but very few Jews could be found here. Those who lived here were all tradesmen who received residence-permits because deep inside Russia (outside the pale of settlement) Jews were not allowed to live unless they received special permission. And when you met one of these Jews, you would never recognize that it was a Jew because they had become thoroughly Christianized, spoke only Russian and knew very little of their Jewish heritage.

We left Samara as the band was playing merrily. Total Population: 89,999 Russian Orthodox Population: 80,493 Jewish Population: Unlisted in the ovierview of the 1897 Imperial Census 
.",Samara,"53.247763, 50.197390",RussiaTrek,http://russiatrek.org/samara-city,,,,,
Bogoroslav,,,,,,,,,,,,
